"Policy Instrument","Main Classification","Secondary Classification","url"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunls Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunls Reform","Informational","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Consultation on Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Streamlined extradition arrangements","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Arrangement enabling the fast and effective exchange of national DNA, fingerprint and vehicle registration data via the Prüm system","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Continued operational co-operation with Europol and Eurojust","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Arrangements enabling the fast and effective exchange of criminal records data via shared technical infrastructure","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Arrangements providing for continued transfers of passenger name record data","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Tougher border rules for EU criminals","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Banning foreign criminals sentenced to more than a year in jail from entering the UK","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Making it harder for criminals to operate and smuggle illicit commodities into the country","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Phasing out the use of insecure identity documents used to enter the UK","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Refusing to recognise EEA and Swiss national identity cards from 1 October 2021","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Providing the police with more powers to protect the public","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Allowing the police to detain fugitives wanted by close partner countries immediately without a UK arrest warrant","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Advance data on all goods coming from the EU into Great Britain from July 2021","Administrative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"UK's 2025 border strategy","Administrative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Co-operation with international partners","Administrative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Free movement ending from 1 January 2021","Legislative","","https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate"
"Appointment of Suella Braverman as Attorney General","Legislative","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Institutional","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Administrative","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Welfare","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Monetary","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Market-based","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Informational","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"Appointment of Suella Braverman as Attorney General","Other","","https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129"
"£600,000 funding for space clusters","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Cornwall space cluster","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for West of England space cluster","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Northern Ireland space cluster","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Aerospace Wales","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Midlands Aerospace Alliance","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Leeds University","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Highlands and Islands Enterprise","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Open University","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Scottish Space Group","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Grant funds for Science and Technology Facilities Council (STFC)","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"£500k funding for space hubs","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"New UK Space Agency funding","Welfare","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Levelling Up White Paper","Legislative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
